version,1.6.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Afghanistan
info,gender,male
info,season,2013/14
info,date,2014/03/16
info,event,World T20
info,match_number,1
info,venue,Shere Bangla National Stadium
info,city,Mirpur
info,toss_winner,Bangladesh
info,toss_decision,field
info,player_of_match,Shakib Al Hasan
info,umpire,RK Illingworth
info,umpire,NJ Llong
info,reserve_umpire,RA Kettleborough
info,tv_umpire,HDPK Dharmasena
info,match_referee,RS Madugalle
info,winner,Bangladesh
info,winner_wickets,9
info,player,Afghanistan,Mohammad Shahzad
info,player,Afghanistan,Najeeb Tarakai
info,player,Afghanistan,Gulbadin Naib
info,player,Afghanistan,Nawroz Mangal
info,player,Afghanistan,Mohammad Nabi
info,player,Afghanistan,Karim Sadiq
info,player,Afghanistan,Shafiqullah
info,player,Afghanistan,Samiullah Shenwari
info,player,Afghanistan,Dawlat Zadran
info,player,Afghanistan,Shapoor Zadran
info,player,Afghanistan,Aftab Alam
info,player,Bangladesh,Tamim Iqbal
info,player,Bangladesh,Anamul Haque
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Mushfiqur Rahim
info,player,Bangladesh,Sabbir Rahman
info,player,Bangladesh,Nasir Hossain
info,player,Bangladesh,Mahmudullah
info,player,Bangladesh,Farhad Reza
info,player,Bangladesh,Mashrafe Mortaza
info,player,Bangladesh,Al-Amin Hossain
info,player,Bangladesh,Abdur Razzak
info,registry,people,Abdur Razzak,888e32bf
info,registry,people,Aftab Alam,2a3a3786
info,registry,people,Al-Amin Hossain,3f5f39cd
info,registry,people,Anamul Haque,72b245dd
info,registry,people,Dawlat Zadran,1fba2ae3
info,registry,people,Farhad Reza,4948a447
info,registry,people,Gulbadin Naib,9f77963a
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,Karim Sadiq,13e5908b
info,registry,people,Mahmudullah,bf1d7d3e
info,registry,people,Mashrafe Mortaza,e186f49c
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Mohammad Shahzad,d6dcb0c9
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,NJ Llong,573fb985
info,registry,people,Najeeb Tarakai,2683e28b
info,registry,people,Nasir Hossain,6eea0b32
info,registry,people,Nawroz Mangal,0503ae22
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RK Illingworth,20672246
info,registry,people,RS Madugalle,766b5798
info,registry,people,Sabbir Rahman,7147f314
info,registry,people,Samiullah Shenwari,61646132
info,registry,people,Shafiqullah,ba4d600a
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Shapoor Zadran,fccebff9
info,registry,people,Tamim Iqbal,3b041a12
ball,1,0.1,Afghanistan,Mohammad Shahzad,Najeeb Tarakai,Mashrafe Mortaza,0,0,,,,,,caught,Mohammad Shahzad
ball,1,0.2,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Mashrafe Mortaza,0,1,1,,,,,"",""
ball,1,0.3,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,0.4,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,0.5,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,0.6,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,0.7,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,1.1,Afghanistan,Najeeb Tarakai,Gulbadin Naib,Al-Amin Hossain,1,0,,,,,,"",""
ball,1,1.2,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Al-Amin Hossain,0,0,,,,,,"",""
ball,1,1.3,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Al-Amin Hossain,6,0,,,,,,"",""
ball,1,1.4,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Al-Amin Hossain,0,0,,,,,,"",""
ball,1,1.5,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Al-Amin Hossain,0,0,,,,,,"",""
ball,1,1.6,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Al-Amin Hossain,0,0,,,,,,"",""
ball,1,2.1,Afghanistan,Najeeb Tarakai,Gulbadin Naib,Mashrafe Mortaza,0,1,1,,,,,"",""
ball,1,2.2,Afghanistan,Najeeb Tarakai,Gulbadin Naib,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,2.3,Afghanistan,Najeeb Tarakai,Gulbadin Naib,Mashrafe Mortaza,1,0,,,,,,"",""
ball,1,2.4,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Mashrafe Mortaza,1,0,,,,,,"",""
ball,1,2.5,Afghanistan,Najeeb Tarakai,Gulbadin Naib,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,2.6,Afghanistan,Najeeb Tarakai,Gulbadin Naib,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,2.7,Afghanistan,Najeeb Tarakai,Gulbadin Naib,Mashrafe Mortaza,4,0,,,,,,"",""
ball,1,3.1,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Shakib Al Hasan,0,0,,,,,,"",""
ball,1,3.2,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Shakib Al Hasan,0,0,,,,,,"",""
ball,1,3.3,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Shakib Al Hasan,1,0,,,,,,"",""
ball,1,3.4,Afghanistan,Najeeb Tarakai,Gulbadin Naib,Shakib Al Hasan,1,0,,,,,,"",""
ball,1,3.5,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Shakib Al Hasan,0,0,,,,,,"",""
ball,1,3.6,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Shakib Al Hasan,0,0,,,,,,"",""
ball,1,4.1,Afghanistan,Najeeb Tarakai,Gulbadin Naib,Al-Amin Hossain,0,2,,2,,,,"",""
ball,1,4.2,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Al-Amin Hossain,4,0,,,,,,"",""
ball,1,4.3,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Al-Amin Hossain,4,0,,,,,,"",""
ball,1,4.4,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Al-Amin Hossain,0,4,,,,4,,"",""
ball,1,4.5,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Al-Amin Hossain,1,0,,,,,,"",""
ball,1,4.6,Afghanistan,Najeeb Tarakai,Gulbadin Naib,Al-Amin Hossain,0,0,,,,,,"",""
ball,1,4.7,Afghanistan,Najeeb Tarakai,Gulbadin Naib,Al-Amin Hossain,0,0,,,,,,"",""
ball,1,5.1,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Shakib Al Hasan,4,0,,,,,,"",""
ball,1,5.2,Afghanistan,Gulbadin Naib,Najeeb Tarakai,Shakib Al Hasan,0,0,,,,,,caught,Gulbadin Naib
ball,1,5.3,Afghanistan,Najeeb Tarakai,Nawroz Mangal,Shakib Al Hasan,0,0,,,,,,caught,Najeeb Tarakai
ball,1,5.4,Afghanistan,Mohammad Nabi,Nawroz Mangal,Shakib Al Hasan,0,0,,,,,,"",""
ball,1,5.5,Afghanistan,Mohammad Nabi,Nawroz Mangal,Shakib Al Hasan,0,0,,,,,,"",""
ball,1,5.6,Afghanistan,Mohammad Nabi,Nawroz Mangal,Shakib Al Hasan,0,0,,,,,,"",""
ball,1,6.1,Afghanistan,Nawroz Mangal,Mohammad Nabi,Mahmudullah,0,0,,,,,,run out,Nawroz Mangal
ball,1,6.2,Afghanistan,Mohammad Nabi,Karim Sadiq,Mahmudullah,1,0,,,,,,"",""
ball,1,6.3,Afghanistan,Karim Sadiq,Mohammad Nabi,Mahmudullah,0,0,,,,,,"",""
ball,1,6.4,Afghanistan,Karim Sadiq,Mohammad Nabi,Mahmudullah,0,0,,,,,,"",""
ball,1,6.5,Afghanistan,Karim Sadiq,Mohammad Nabi,Mahmudullah,0,0,,,,,,"",""
ball,1,6.6,Afghanistan,Karim Sadiq,Mohammad Nabi,Mahmudullah,1,0,,,,,,"",""
ball,1,7.1,Afghanistan,Karim Sadiq,Mohammad Nabi,Abdur Razzak,0,0,,,,,,"",""
ball,1,7.2,Afghanistan,Karim Sadiq,Mohammad Nabi,Abdur Razzak,0,0,,,,,,"",""
ball,1,7.3,Afghanistan,Karim Sadiq,Mohammad Nabi,Abdur Razzak,3,0,,,,,,"",""
ball,1,7.4,Afghanistan,Mohammad Nabi,Karim Sadiq,Abdur Razzak,0,0,,,,,,"",""
ball,1,7.5,Afghanistan,Mohammad Nabi,Karim Sadiq,Abdur Razzak,1,0,,,,,,"",""
ball,1,7.6,Afghanistan,Karim Sadiq,Mohammad Nabi,Abdur Razzak,1,0,,,,,,"",""
ball,1,8.1,Afghanistan,Karim Sadiq,Mohammad Nabi,Mahmudullah,1,0,,,,,,"",""
ball,1,8.2,Afghanistan,Mohammad Nabi,Karim Sadiq,Mahmudullah,1,0,,,,,,"",""
ball,1,8.3,Afghanistan,Karim Sadiq,Mohammad Nabi,Mahmudullah,0,0,,,,,,"",""
