version,1.6.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Ireland
info,gender,male
info,season,2015/16
info,date,2016/03/11
info,event,World T20
info,match_number,8
info,venue,Himachal Pradesh Cricket Association Stadium
info,city,Dharamsala
info,neutralvenue,true
info,toss_winner,Ireland
info,toss_decision,field
info,umpire,NJ Llong
info,umpire,RJ Tucker
info,reserve_umpire,S Ravi
info,tv_umpire,CB Gaffaney
info,match_referee,AJ Pycroft
info,outcome,no result
info,player,Bangladesh,Tamim Iqbal
info,player,Bangladesh,Soumya Sarkar
info,player,Bangladesh,Sabbir Rahman
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Mahmudullah
info,player,Bangladesh,Mushfiqur Rahim
info,player,Bangladesh,Mohammad Mithun
info,player,Bangladesh,Mashrafe Mortaza
info,player,Bangladesh,Abu Hider
info,player,Bangladesh,Taskin Ahmed
info,player,Bangladesh,Al-Amin Hossain
info,player,Ireland,WTS Porterfield
info,player,Ireland,PR Stirling
info,player,Ireland,GC Wilson
info,player,Ireland,NJ O'Brien
info,player,Ireland,KJ O'Brien
info,player,Ireland,AD Poynter
info,player,Ireland,AR McBrine
info,player,Ireland,MC Sorensen
info,player,Ireland,TJ Murtagh
info,player,Ireland,WB Rankin
info,player,Ireland,GH Dockrell
info,registry,people,AD Poynter,b98cdbf0
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,AR McBrine,e957b38f
info,registry,people,Abu Hider,31803fac
info,registry,people,Al-Amin Hossain,3f5f39cd
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,GC Wilson,05de1a5a
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,KJ O'Brien,243431b5
info,registry,people,MC Sorensen,3f18724b
info,registry,people,Mahmudullah,bf1d7d3e
info,registry,people,Mashrafe Mortaza,e186f49c
info,registry,people,Mohammad Mithun,77191792
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,NJ Llong,573fb985
info,registry,people,NJ O'Brien,84826f48
info,registry,people,PR Stirling,cf494ffe
info,registry,people,RJ Tucker,38810cfc
info,registry,people,S Ravi,9b9ee0df
info,registry,people,Sabbir Rahman,7147f314
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Soumya Sarkar,4d9f9686
info,registry,people,TJ Murtagh,c89474d1
info,registry,people,Tamim Iqbal,3b041a12
info,registry,people,Taskin Ahmed,ef18b66e
info,registry,people,WB Rankin,29b89ae8
info,registry,people,WTS Porterfield,ec02b798
ball,1,0.1,Bangladesh,Tamim Iqbal,Soumya Sarkar,TJ Murtagh,0,0,,,,,,"",""
ball,1,0.2,Bangladesh,Tamim Iqbal,Soumya Sarkar,TJ Murtagh,0,0,,,,,,"",""
ball,1,0.3,Bangladesh,Tamim Iqbal,Soumya Sarkar,TJ Murtagh,1,0,,,,,,"",""
ball,1,0.4,Bangladesh,Soumya Sarkar,Tamim Iqbal,TJ Murtagh,2,0,,,,,,"",""
ball,1,0.5,Bangladesh,Soumya Sarkar,Tamim Iqbal,TJ Murtagh,0,0,,,,,,"",""
ball,1,0.6,Bangladesh,Soumya Sarkar,Tamim Iqbal,TJ Murtagh,1,0,,,,,,"",""
ball,1,1.1,Bangladesh,Soumya Sarkar,Tamim Iqbal,WB Rankin,0,0,,,,,,"",""
ball,1,1.2,Bangladesh,Soumya Sarkar,Tamim Iqbal,WB Rankin,0,5,,,,5,,"",""
ball,1,1.3,Bangladesh,Tamim Iqbal,Soumya Sarkar,WB Rankin,6,0,,,,,,"",""
ball,1,1.4,Bangladesh,Tamim Iqbal,Soumya Sarkar,WB Rankin,4,0,,,,,,"",""
ball,1,1.5,Bangladesh,Tamim Iqbal,Soumya Sarkar,WB Rankin,0,0,,,,,,"",""
ball,1,1.6,Bangladesh,Tamim Iqbal,Soumya Sarkar,WB Rankin,1,0,,,,,,"",""
ball,1,2.1,Bangladesh,Tamim Iqbal,Soumya Sarkar,TJ Murtagh,1,0,,,,,,"",""
ball,1,2.2,Bangladesh,Soumya Sarkar,Tamim Iqbal,TJ Murtagh,1,0,,,,,,"",""
ball,1,2.3,Bangladesh,Tamim Iqbal,Soumya Sarkar,TJ Murtagh,6,0,,,,,,"",""
ball,1,2.4,Bangladesh,Tamim Iqbal,Soumya Sarkar,TJ Murtagh,4,0,,,,,,"",""
ball,1,2.5,Bangladesh,Tamim Iqbal,Soumya Sarkar,TJ Murtagh,0,0,,,,,,"",""
ball,1,2.6,Bangladesh,Tamim Iqbal,Soumya Sarkar,TJ Murtagh,0,1,,,1,,,"",""
ball,1,3.1,Bangladesh,Tamim Iqbal,Soumya Sarkar,KJ O'Brien,0,0,,,,,,"",""
ball,1,3.2,Bangladesh,Tamim Iqbal,Soumya Sarkar,KJ O'Brien,0,2,2,,,,,"",""
ball,1,3.3,Bangladesh,Soumya Sarkar,Tamim Iqbal,KJ O'Brien,4,0,,,,,,"",""
